# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 + a_18x_18 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-4,0,1,0,1,1,2,0,3,1,2,2,4,2,3,3,4,3,4,4
19,-8,0,2,5,2,2,4,5,6,2,4,4,8,4,6,6,8,6,3,3
20,-8,0,2,5,7,2,4,5,6,7,4,4,8,4,1,6,8,1,3,3
21,-6,0,4,0,4,4,3,0,2,4,3,3,6,3,2,2,6,2,6,6
22,-6,0,4,5,4,4,3,5,2,4,3,3,6,3,2,2,6,2,1,1
23,-12,0,8,5,3,8,6,5,4,3,6,6,12,6,9,4,12,9,7,7
24,-12,0,8,10,3,8,6,10,4,3,6,6,12,6,9,4,12,9,2,2
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1
27,-1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0
28,-3,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,1,2
29,-3,1,1,1,1,1,2,2,2,2,1,1,2,2,1,2,3,2,1,2
30,-3,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,3,2,1,2
31,-3,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,3,2,1,2
32,-3,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,3,2,1,2
33,-3,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,3,1,1,2
34,-3,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,3,1,1,2
35,-3,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,3,1,1,2
36,-3,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,3,1,1,2
37,-3,1,1,1,2,2,2,2,1,1,1,2,2,1,2,2,3,1,1,2
38,-3,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,3,2,1,1
39,-3,1,1,2,1,1,1,2,2,2,2,2,2,1,1,2,3,2,1,1
40,-3,1,1,2,1,1,2,1,2,1,1,2,2,1,2,2,3,2,2,1
41,-3,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,3,2,2,1
42,-3,1,1,2,1,1,2,1,2,2,1,2,2,1,1,2,3,2,2,1
43,-3,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,3,2,1,1
44,-3,1,1,2,1,1,2,2,2,2,1,2,2,1,1,2,3,2,1,1
45,-3,1,1,2,1,2,1,1,1,2,2,2,2,1,1,2,3,2,2,1
46,-3,1,1,2,1,2,2,1,1,1,1,1,2,2,2,2,3,2,2,1
47,-3,1,1,2,1,2,2,1,1,2,1,1,2,2,1,2,3,2,2,1
48,-3,1,1,2,1,2,2,2,1,2,1,1,2,2,1,2,3,2,1,1
49,-3,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,3,1,1,1
50,-3,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,3,1,1,1
51,-3,1,1,2,2,1,2,1,2,1,1,1,2,2,2,2,3,1,2,1
52,-3,1,1,2,2,1,2,1,2,1,1,2,2,1,2,2,3,1,2,1
53,-3,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,3,1,2,1
54,-3,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,3,1,1,1
55,-3,1,1,2,2,1,2,2,2,1,1,2,2,1,2,2,3,1,1,1
56,-3,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,3,1,2,1
57,-3,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,3,1,1,1
58,-3,1,2,0,2,1,2,1,2,1,1,2,2,1,2,1,3,1,2,3
59,-3,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,3,2,2,2
60,-3,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,3,2,1,2
61,-3,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,3,2,1,2
62,-3,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,3,2,1,2
63,-3,1,2,1,1,1,2,0,2,2,1,1,2,2,1,1,3,2,3,2
64,-3,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,3,2,2,2
65,-3,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,3,2,2,2
66,-3,1,2,1,1,1,2,1,2,2,1,2,2,1,1,1,3,2,2,2
67,-3,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,3,2,1,2
68,-3,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,3,2,1,2
69,-3,1,2,1,1,1,2,2,2,2,1,1,2,2,1,1,3,2,1,2
70,-3,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,3,2,1,2
71,-3,1,2,1,1,2,1,1,1,1,2,1,2,2,2,1,3,2,2,2
72,-3,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,3,2,2,2
73,-3,1,2,1,1,2,1,2,1,1,2,1,2,2,2,1,3,2,1,2
74,-3,1,2,1,1,2,1,2,1,1,2,2,2,1,2,1,3,2,1,2
75,-3,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,3,2,1,2
76,-3,1,2,1,1,2,1,2,1,2,2,2,2,1,1,1,3,2,1,2
77,-3,1,2,1,1,2,2,1,1,1,1,1,2,2,2,1,3,2,2,2
78,-3,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,3,2,2,2
79,-3,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,3,2,2,2
80,-3,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,3,2,2,2
81,-3,1,2,1,1,2,2,2,1,1,1,1,2,2,2,1,3,2,1,2
82,-3,1,2,1,1,2,2,2,1,1,1,2,2,1,2,1,3,2,1,2
83,-3,1,2,1,1,2,2,2,1,2,1,1,2,2,1,1,3,2,1,2
84,-3,1,2,1,1,2,2,2,1,2,1,2,2,1,1,1,3,2,1,2
85,-3,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,3,1,2,2
86,-3,1,2,1,2,1,1,2,2,1,2,2,2,1,2,1,3,1,1,2
87,-3,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,3,1,1,2
88,-3,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,3,1,1,2
89,-3,1,2,1,2,1,2,1,2,1,1,1,2,2,2,1,3,1,2,2
90,-3,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,3,1,2,2
91,-3,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,3,1,2,2
92,-3,1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,3,1,1,2
93,-3,1,2,1,2,1,2,2,2,1,1,2,2,1,2,1,3,1,1,2
94,-3,1,2,1,2,1,2,2,2,2,1,1,2,2,1,1,3,1,1,2
95,-3,1,2,1,2,1,2,2,2,2,1,2,2,1,1,1,3,1,1,2
96,-3,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1,3,1,1,2
97,-3,1,2,1,2,2,1,2,1,1,2,2,2,1,2,1,3,1,1,2
98,-3,1,2,1,2,2,1,2,1,2,2,2,2,1,1,1,3,1,1,2
99,-3,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,3,1,2,2
100,-3,1,2,1,2,2,2,1,1,1,1,2,2,1,2,1,3,1,2,2
101,-3,1,2,1,2,2,2,2,1,1,1,1,2,2,2,1,3,1,1,2
102,-3,1,2,1,2,2,2,2,1,1,1,2,2,1,2,1,3,1,1,2
103,-3,1,2,1,2,2,2,2,1,2,1,1,2,2,1,1,3,1,1,2
104,-3,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,3,2,2,1
105,-3,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,3,2,2,1
106,-3,1,2,2,1,1,1,2,2,2,2,1,2,2,1,1,3,2,1,1
107,-3,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,3,2,2,1
108,-3,1,2,2,1,1,2,1,2,1,1,2,2,1,2,1,3,2,2,1
109,-3,1,2,2,1,1,2,1,2,2,1,1,2,2,1,1,3,2,2,1
110,-3,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,3,2,2,1
111,-3,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,3,2,1,1
112,-3,1,2,2,1,1,2,2,2,1,1,2,2,1,2,1,3,2,1,1
113,-3,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,3,2,1,1
114,-3,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,3,2,1,1
115,-3,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,3,2,2,1
116,-3,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,3,2,2,1
117,-3,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,3,2,2,1
118,-3,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,3,2,2,1
119,-3,1,2,2,1,2,2,1,1,1,1,1,2,2,2,1,3,2,2,1
120,-3,1,2,2,1,2,2,1,1,1,1,2,2,1,2,1,3,2,2,1
121,-3,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,3,2,2,1
122,-3,1,2,2,1,2,2,1,1,2,1,2,2,1,1,1,3,2,2,1
123,-3,1,2,2,1,2,2,2,1,2,1,1,2,2,1,1,3,2,1,1
